name,ring,quadrant,isNew,moved,description
uFbcXcmV,trial,techniques,true,-1,UWyyZoOPBqBWMHyAGNvnHlhYHdIbVBeREjzqRUcDTuMPyqamrLmJdcakTKLVrYZXSozTUDPlsWXbEeYHzCcFmEfYVDq
wdA,hold,techniques,true,0,YvDkxayFWAxLsXGnuIYFmgnkMTkiKYohqxXWUKyagUaOTYaFUWYXqfybghuXYepZIMkgTVIoJwlpGxUoMEhSVmUoPwc
Kai,adopt,tools,false,1,IsWTuQKoPeCwnacWUfEvoWpgnlmvTjGAVGFhtfChgTzPtfZXXHXcnbXHXzJHLqjlsNkwJmBfsQEniWOMQdCLUqJHgZpIKEbhgVgiXQzmZWyRAcGjfpzmlYwaXeNsuUMakYLtPkGLMZBYCLyPU
nfIQSwJoKfvZ,adopt,languages & frameworks,true,1,kbuoJZlYBypLBhOvKgbrSQrjWqlDMwqpJzNxXMyXPhbIqykPkJS
injmXfS,trial,platforms,true,0,ChZAxeFdHKOOqkROTcRRGIehMKWlYrcynueYSZYNXXyfGQduyIpsgTNhyQJNiAkrNjhNgsepmstZGYDmRqtXlmvaIcQlJTRoKmOxwokeNAhacCZreCd
ZlyzhHSOMKDL,adopt,techniques,true,1,AycJpvLdnQDGeRhHHrPPLdxhmjfEqCqSyfrOVIOYWTEWymRhsUGvSlHOZVLoUEXBrjGLQscxPbYwzDmNMezgQJZJQBTbKNChqPyTwwDHqnViFlfCXMiUxrMzeIJQOwNVbGlt
CuAsyJCn,adopt,techniques,false,0,VBCUMdNNYrAoOBxxeXWiSNlvwsDQHHCJmXgAOzpkEdGbVjIHpcgKyttWvWGeqSyiWdcSsvwhLCsdrLTyWEELneIoeAhdDiMMCgSND
kTcHajApdxJib,hold,tools,true,1,ZfhTJzrQDIRLFlgrrsmIDP
LGMyFBS,trial,tools,true,-1,srTFssrjjDKGdTlizEneMqkYBuBKrbmEmFuGHerYbusdFedCbsTEwWHiafHHQmSmQkcOmFAoyKCgn
ozBmTxaT,adopt,platforms,false,-3,lAxkPvxxVkZWHODWdoiAHOVYpTkdcnyFgfCEpCshDEXLButQMJmSiygjWvbRRyCysOEZfjYcSybTnoFHxoIfxEWfpRnzSxYRTxcIezXYpVlcIgNAmHAbQRlCcbhdJmv
dLoR,trial,platforms,true,2,rJapqpDHHhoLltTqSamjM
Emenh,adopt,tools,true,-3,osWhNYDUFBeBZjvdRPsYVMhDFCnkmOUvzPJvSMdSgpGYdsWPufROGhmRYeTZrYoQLKmmMVfBcyTXuGUPsAvWUgzNEGQVeEkwZjJ
rAJtUCwA,assess,techniques,true,1,MdGSkLdGBPzBcqUglbXokAgFvxjnxjEQTOWTQARpa
GfZOUui,assess,platforms,false,2,NcwAFLMxozvsXOXCsOguXWSmoJnKwHpVoFZTHlVSYTyYivCgWVByyuSCbsKrbkjXYLQounjWWUqPkkmndfLOZUdPVsuHivGYvBKcQEfwqoGyTkHnHhHITqNOjejZtKfUGzotNRdtxhJ
RljVa,assess,languages & frameworks,false,-1,KBZqJhTNgyndqsWjdrbjVBRYdG
nkk,trial,tools,true,-1,dpsnsmHIYXIYdFCqmiIjaGERFFkBej
jLIJIJq,adopt,techniques,true,2,YFAbFRtxlSAeUchUaexGcHaVLrCHuQNakoOsZsLWXZvYGpffNhnITvcFkBrdWlsKYXrnKgwquBgoZooxHVPrpecJGCnDFOWtkdizIhMFQiOlayTFwPHQAJwSneaMDotyFvWEBqfXpPA
yN,assess,techniques,false,-1,gHttISSzXRhMvPcTWLhyZQvZtJqliCdDaFOvUGcoiaybGWiDvIixpcZhcDMhcscgIbIwHphqClWXLlmYFRzRDNtgxybZTNghvavHlWycqWKMpFNJmOJQnt
wBoMjDipgsSonv,hold,languages & frameworks,true,-2,ZCdCDAushoDkxRlWIClSMUiuttOvpJfxQZRBTTPteKiATzofgqrGJEBwTherLFWCWxIjKkdDnHeHIuicyjgxVYWDoKGMtf
Jhll,assess,tools,false,1,QFvOKNAGQCvqPgPiuJdvbsvAAgPRobxMqECYeJkiywUDjWylVIFcHTqNLzLqhqJvkckrZvWiEWExavmYpoUssLJoCLAJa
MCBeQWRBlcS,assess,tools,false,0,dnPPBaFcYMqxpjnnvkFFWcSdxZqOczzeqrOUCfflGORCxjYuTTkTKfxxempnEcyZyZbEYbYxdvXCPMairDwDsnPVtUboebbBVytAVEotUoEocLiwpsfFxIcgQsSmDVSAAxOSyHxyHdunTymLEhh
BND,assess,languages & frameworks,false,3,KcwVhVNQyNrJQBnAFcahFJbjSRUIQqhvumXtHEYcrGMztNruWjPSANsbLrRBaVza
ZafssFQ,assess,tools,false,2,wLaGtVAnvobSdSSBBCruyUOMovahJdGBypxPygZAZXQXvaVtHDEJPYctuBLnQeMGNHXqLcIiUMSliHkmzAjumVjuHJIHsOZIfyJaZFKgMVCWdnfBgXqBtuTBJHBpmbuKcy
fMSLdLodFDrZc,assess,tools,false,-3,BePMxfhKPfxpSCUeXrxyNSSnJUusoRGGGyPuoCPTAknIHJD
gHk,hold,tools,false,3,hhXLIymvdXgnWtVTsIUbzVxcUsuMiSdTBPIsxxnjTbAQpUemqsYHklxeRbjmSVvvcjYmbahRauuSIfjBfyWSGizznuCTiYAkUjoTaFgMjdkuyvsENRxMAlXsiqvMxUtmSeNisdLZyEfGzcgzypEn
jTaP,trial,tools,true,-1,OQGnyfDnlLZUvGKPCiMYTpUKWnoeIbIwlnuTkirzFJSRTuQGhOeKqMHyQoSjwHVCadzXGRgCaUGipiGGpgcSnUOcCcSdq
eLjZ,assess,tools,true,2,IggRMTucklSlAJYbNqlGqGqkYEUCbevmHczAioZbGZxRsBM
UqDokyGZxCEYjZ,trial,platforms,true,2,BBtpZRgkgTJrIxIVtcJwrMfKtKjmGygFrHUHzgQJjdAWVYKcvjnyUdPAJLczZujKgEdQEnmTFCybTvxpxfPoltwtYrIVdoUlCMuSNlQUCVISbwoMG
yoVlyLMwugbxm,adopt,languages & frameworks,true,3,tsURClCUtyCAZPmXDypHvHBAXgYBaPYyLIyMedTWLUfdSd
TavLXe,trial,languages & frameworks,true,-3,WqkBNbMjPnDoyPmDQaJeXHvfvOnZPFhlveqychRpSECMUXRUftNuYeSmSTZlyhJsZMvQbULQWoFlNMupwRcjKTbOYxmmePTvhHCFDgrSeMjoiIikFzzB
yAQcHjuFL,assess,languages & frameworks,false,-1,uwPHVOSRbomnvdIgTIydiwN
kOxpBEyyaxcVLiv,adopt,languages & frameworks,true,1,eqiDvtqqqTKInLFvVZpynQGavuHHhbwgNjVOecPYOacWqPIBZOf
LNMYYJ,hold,platforms,true,-3,dZRCuDDwSmecackUsRUhXqiijzNSKIrmooSMpLHdQuKWHNlCgRYWqlkZAaqJGemnrSDYPCWLHmRyTuunutYfVttykCLDOXaxuPdlVWEZJnDmucozoBdECCkimwsjNUVHHoHrkMZJNFJsFmGvYkdq
MMPoASVbeYGTVNJ,assess,tools,false,3,ACuSkKTnKLNqovhWZDAHprCkptXPjziSCsajKckMjIOaMlBptNCZVWgEsTwRnOlCeEYfuLUqnaqAKSNgAwmjAtQVuPLCbOZmVWlhvZvbBFqMmfxrdtzQjLqcifepUyMNnuCESYsENWzucT
raci,assess,languages & frameworks,false,3,OOAmyImvkkuGYbUnRmgPdrPwCVFpvUdGwozngbSiwby
itDLmYv,trial,languages & frameworks,true,-1,XsAPrXhPkdXwyYhnUzDJkkJjESwTAzFXubHUydrVoVd
iGnXoHctB,trial,platforms,true,2,MqQxMdworMeWTNvJVrdacIgeRdgyttvRCphvBlLNGvJOXaPSAoTgFpXrFMgjbMNKPeSwfoEHvYYOUBvnHuGDZVYAyBOpgryvGBEymgSPrnVnNLWUmZFgVoaCrchVBsUCeIJotlbckyEfPGmgExJh
laVjjo,trial,platforms,false,1,ennACPquFqkYjQlMJUMZUuOThonubJqNgfhoGfEAgKbSRuNHGewCipvRQIJdoPgtuUviAUupETHriVJtclJDvCuuatcZvxgJwgWHaujikeiePQCrVUHkwTctHhHxtVKLXxxuNtifyjknT
IKpVKENmqk,assess,techniques,false,1,wGSoTElCEnKklBysVWdPFTcinaNRyFdVUSiiAiOuSwIXtoCqaNXJNBKaAbCJUvGPuAMlCfFzucHyNPqsToacmgcEUvbyOgfNSYePehrKKrDHyeNtLxISZRRxTZalrpAmBwLqC
jRGq,adopt,platforms,true,3,MxhBRMVlGgQMIIIKabvyQMORZbxtKisMTjzNjggLnZOpLBLTZeuqCqndejMmB
EloeZTPHUAX,hold,tools,true,1,eeyolxPUuhUPfVHOvkSevuYhnNtwaYIinGlOzoHZhMrPSfbHOdAIzzzQUDJncPbkXDFkSLBLluwlrSmdQNIoJ
gYwHPgQFdyttkl,assess,platforms,true,-1,GRkXKnstHkWoXvzvlqTtTsmLAPSqmCyYGJXrodWRhviJM
xQ,hold,tools,false,2,vrznlokbguvqiEAvYAekHZSxzEVtFfiqRtpvpjOGjviSlUGJprUFhQejdobcNZpHptQ
ZwudfdEaDnCqHCD,adopt,languages & frameworks,false,3,gjQgUBMLkhsXUULMSzYlTgfbYmKCGeRmzXJsVuLS
hNDZFQS,assess,techniques,true,-2,XTBRABDPOclOjwEwyWmSyvdjmOTkSCkztVdClWLhaNytpXOqxrRvcwArfBZoEBCWppqjrH
vHN,hold,tools,false,-1,efYvnfvLmqKlHnVvtvOHasotNbzaErfxfSHNOpdhpvDyFEDUsNhWZcGavTahiSELXgkcpVTVfFQvwuUUWBqvhHCDDQIArbIPlzpnpjjcicwTQrcvYDLZx
bsCGxJdvUTPvSPr,adopt,languages & frameworks,false,2,zqiuugLAweAuDjmWpAomhNS
lilhZuZQsEA,hold,tools,false,2,EdyocdHFdKZHNXeSLvvgJBUvAlgNGpHUwpvmSMZUGnVomEPzyXtUnORAOmAKsPCtIjymLSjaWMQaSwRFmrxDskUNrvBfHcwttaLAseJAoMJfhLiYKCpjtTdfpuRxxzusNYSBAp
AGaUg,hold,languages & frameworks,false,-1,fXgbklaiEYrCBRyQDmlifEqbkitMuOxoFFjYpKIOosgkWyzeIGjCOqGCMiFKthkHLGEWtikPJcwtFzoBOvaNNxLos
hY,trial,languages & frameworks,false,1,YbftGtxPoGkrFxujZSDxFKgdKLpotaKBwjcxHwUIpQgTyFeeEmpxhSasYfxiiWfxngb
Sq,hold,platforms,false,-2,YKEkqEqBQRKoXrBNJylsVoLEQFOYqpYUViBMUzXleGaFyfYZJTPgCocXGHgdLyDwXJtmeOKOXpzLiFYij
rryOlNL,hold,tools,false,-2,sMMMGbXfZgNubBWAVcwpIzlKRfmEhjcJzqxtogGukjYGPxftLBivlFEgThgZIIUVcmL
